iter	Passed	Remaining
0	226	226244
1	227	113639
2	228	76065
3	229	57257
4	231	46140
5	234	38913
6	236	33509
7	238	29588
8	240	26436
9	243	24116
10	245	22039
11	246	20310
12	249	18963
13	251	17696
14	253	16626
15	254	15658
16	260	15080
17	261	14293
18	264	13668
19	266	13060
20	270	12601
21	272	12134
22	273	11633
23	274	11176
24	275	10753
25	276	10361
26	277	9998
27	278	9669
28	279	9362
29	280	9074
30	281	8801
31	288	8734
32	289	8496
33	291	8290
34	293	8080
35	294	7886
36	296	7722
37	299	7572
38	300	7395
39	301	7234
40	303	7090
41	308	7028
42	309	6888
43	314	6831
44	316	6713
45	317	6586
46	320	6495
47	328	6507
48	329	6395
49	331	6291
50	333	6213
51	335	6113
52	336	6020
53	338	5926
54	339	5829
55	340	5736
56	341	5645
57	342	5570
58	349	5580
59	351	5502
60	352	5429
61	356	5386
62	364	5428
63	369	5398
64	373	5373
65	374	5305
66	383	5336
67	385	5282
68	386	5216
69	395	5256
70	396	5192
71	397	5129
72	399	5067
73	400	5009
74	401	4953
75	403	4900
76	406	4876
77	409	4844
78	412	4806
79	413	4756
80	414	4704
81	416	4661
82	417	4608
83	418	4568
84	420	4522
85	421	4479
86	423	4442
87	428	4438
88	429	4394
89	430	4353
90	432	4320
91	434	4286
92	435	4251
93	447	4312
94	448	4273
95	452	4262
96	453	4224
97	454	4186
98	458	4176
99	462	4159
100	470	4183
101	478	4208
102	479	4173
103	480	4139
104	481	4105
105	482	4072
106	489	4085
107	491	4056
108	500	4093
109	504	4085
110	508	4071
111	510	4049
112	521	4090
113	522	4062
114	524	4036
115	527	4017
116	529	3996
117	531	3970
118	536	3968
119	541	3967
120	542	3942
121	543	3913
122	545	3890
123	548	3871
124	549	3845
125	551	3822
126	551	3793
127	553	3767
128	557	3761
129	561	3761
130	563	3736
131	564	3712
132	565	3687
133	567	3665
134	568	3641
135	569	3618
136	576	3632
137	577	3608
138	578	3584
139	583	3586
140	585	3565
141	586	3542
142	587	3521
143	589	3501
144	590	3480
145	591	3461
146	593	3443
147	594	3423
148	598	3419
149	600	3400
150	602	3385
151	604	3374
152	606	3359
153	608	3340
154	609	3323
155	620	3356
156	621	3338
157	622	3319
158	639	3380
159	640	3361
160	647	3374
161	648	3356
162	649	3337
163	651	3319
164	655	3316
165	656	3298
166	660	3294
167	661	3276
168	663	3260
169	664	3243
170	665	3227
171	667	3212
172	668	3197
173	672	3193
174	675	3186
175	677	3170
176	679	3157
177	680	3141
178	681	3125
179	683	3114
180	704	3189
181	706	3177
182	708	3161
183	709	3147
184	710	3132
185	731	3200
186	732	3184
187	736	3180
188	741	3179
189	742	3165
190	747	3164
191	748	3149
192	752	3148
193	754	3135
194	756	3121
195	757	3106
196	758	3092
197	760	3079
198	763	3071
199	767	3069
200	783	3116
201	785	3102
202	786	3089
203	788	3076
204	792	3073
205	793	3059
206	794	3045
207	796	3034
208	799	3027
209	801	3014
210	803	3005
211	805	2992
212	806	2980
213	817	3002
214	819	2990
215	820	2978
216	829	2991
217	830	2978
218	831	2966
219	833	2956
220	847	2988
221	849	2977
222	851	2965
223	852	2953
224	853	2940
225	858	2940
226	860	2929
227	864	2927
228	865	2915
229	867	2902
230	868	2890
231	873	2892
232	875	2881
233	877	2871
234	879	2862
235	880	2850
236	882	2841
237	890	2851
238	892	2840
239	897	2843
240	904	2847
241	905	2836
242	908	2829
243	918	2847
244	926	2853
245	928	2845
246	930	2836
247	933	2830
248	934	2819
249	936	2809
250	937	2797
251	938	2786
252	945	2790
253	946	2779
254	947	2768
255	948	2757
256	950	2748
257	952	2739
258	955	2733
259	961	2735
260	962	2725
261	966	2722
262	968	2713
263	969	2703
264	970	2693
265	974	2689
266	982	2696
267	983	2686
268	984	2675
269	986	2665
270	991	2666
271	992	2656
272	994	2649
273	996	2639
274	997	2629
275	998	2619
276	999	2609
277	1006	2613
278	1011	2613
279	1012	2603
280	1014	2595
281	1016	2588
282	1023	2592
283	1024	2583
284	1030	2586
285	1032	2578
286	1056	2623
